Season,Player,Chosen Fighter,Opponent,Odds,W_L,Fight Length,Result,Weight Class,Fight Location,M_F,Ref
Season 03,Daniel,Cory Sandhagen,Rob Font,-350,W, 1500:00,UD,Catchweight,Main Card,M,J. Herzog
Season 03,Daniel,Khalil Rountree Jr,Chris Daukaus,-175,W, 160:00,Round 1 TKO,Light Heavyweight,Main Card,M,H. Dean
Season 03,Goro,Ilia Topuria,Josh Emmett,-340,W, 1500:00,UD,Featherweight,Main Card,M,M. Goddard
Season 03,Goro,Brunno Ferreira,Nursulton Ruziboev,-225,L, 77:00,Round 1 TKO,Middleweight,Main Card,M,M. Smith
Season 03,Ian,Tabatha Ricci,Gillian Robertson,-135,W, 900:00,UD,Strawweight (W),Prelim,F,K. Peterson
Season 03,Ian,Micheal Morales,Max Griffin,-250,W, 900:00,UD,Welterweight,Main Card,M,K. Hatley
Season 03,Ian,Jalin Turner,Dan Hooker,-300,L, 900:00,SD,Catchweight,Main Card,M,M. Smith
Season 03,Joe,Tabatha Ricci,Gillian Robertson,-135,W, 900:00,UD,Strawweight (W),Prelim,F,K. Peterson
Season 03,Joe,Melissa Gatto,Ariane Lipski,-240,L, 900:00,SD,Flyweight,Main Card,F,C. Tognoni
Season 03,Kanta,Tabatha Ricci,Gillian Robertson,-135,W, 900:00,UD,Strawweight (W),Prelim,F,K. Peterson
Season 03,Kanta,Micheal Morales,Max Griffin,-250,W, 900:00,UD,Welterweight,Main Card,M,K. Hatley
Season 03,Kanta,Tatsuro Taira,Edgar Chairez,-900,W, 900:00,UD,Catchweight,Prelim,M,H. Dean
Season 03,Kanta,Azat Maksum,Tyson Nam,-420,W, 900:00,SD,Flyweight,Prelim,M,K. Peterson
Season 03,Kanta,Molly McCann,Julija Stoliarenko,-210,L, 115:00,Round 1 TKO,Flyweight (W),Main Card,F,J. Herzog
Season 03,Rav,Ilia Topuria,Josh Emmett,-340,W, 1500:00,UD,Featherweight,Main Card,M,M. Goddard
Season 03,Rav,Joanderson Brito,Weslin Wilson,-1400,W, 174:00,Round 1 TKO,Featherweight,Prelim,M,C. Tognoni
Season 03,Rav,Bo Nickal,Val Woodburn,-1600,W, 38:00,Round 1 TKO,Middleweight,Main Card,M,C. Tognoni
Season 03,Rav,Jack Della Maddalena,Bassil Hafez,-575,W, 900:00,SD,Welterweight,Main Card,M,M. Smith
Season 03,Rav,Tom Aspinall,Marcin Tybura,-475,W, 73:00,Round 1 TKO,Heavyweight,Main Card,M,M. Goddard
Season 03,Rav,Bobby Green,Tony Ferguson,-375,W, 894:00,Round 3 Sub,Lightweight,Main Card,M,D. Miragliotta
Season 03,Rav,Cory Sandhagen,Rob Font,-350,W, 1500:00,UD,Catchweight,Main Card,M,J. Herzog
Season 03,Rav,Rafael Dos Anjos,Vicente Luque,-125,L, 1500:00,UD,Welterweight,Main Card,M,M. Smith
Season 03,Scott,Ilia Topuria,Josh Emmett,-340,W, 1500:00,UD,Featherweight,Main Card,M,M. Goddard
Season 03,Scott,,,,L,,,,,,
Season 03,Taylan,Maycee Barber,Amanda Ribas,165,W, 522:00,Round 2 TKO,Flyweight (W),Main Card,F,K. Peterson
Season 03,Taylan,Joanderson Brito,Weslin Wilson,-1400,W, 174:00,Round 1 TKO,Featherweight,Prelim,M,C. Tognoni
Season 03,Taylan,Alexander Volkanovski,Yair Rodriguez,-375,W, 859:00,Round 3 TKO,Featherweight,Main Card,M,H. Dean
Season 03,Taylan,Jack Della Maddalena,Bassil Hafez,-575,W, 900:00,SD,Welterweight,Main Card,M,M. Smith
Season 03,Taylan,Tom Aspinall,Marcin Tybura,-475,W, 73:00,Round 1 TKO,Heavyweight,Main Card,M,M. Goddard
Season 03,Taylan,Jan Blachowicz,Alex Pereira,-110,L, 900:00,SD,Light Heavyweight,Main Card,M,M. Goddard
Season 04,Aaron,Max Holloway,Chan Sung Jung,-800,W, 623:00,Round 3 TKO,Featherweight,Main Card,M,M. Goddard
Season 04,Aaron,Rose Namajunas,Manon Fiorot,160,L, 900:00,UD,Flyweight (W),Main Card,F,R. Mitchell
Season 04,Alex,Junior Tafa,Parker Porter,-145,W, 84:00,Round 1 TKO,Heavyweight,Main Card,M,M. Goddard
Season 04,Alex,Benoit Saint-Denis,Thiago Moises,-165,W, 584:00,Round 2 TKO,Lightweight,Main Card,M,L. Bosacki
Season 04,Alex,Jack Jenkins,Chepe Mariscal,-210,L, 499:00,Round 2 TKO,Featherweight,Prelim,M,G. Kleynjans
Season 04,Chika,Max Holloway,Chan Sung Jung,-800,W, 623:00,Round 3 TKO,Featherweight,Main Card,M,M. Goddard
Season 04,Chika,Ciryl Gane,Serghei Spivac,-175,W, 524:00,Round 2 TKO,Heavyweight,Main Card,M,M. Goddard
Season 04,Chika,Israel Adesanya,Sean Strickland,-650,L, 1500:00,UD,Middleweight,Main Card,M,M. Goddard
Season 04,Daniel,Rinya Nakamura,Fernie Garcia,-800,W, 900:00,UD,Bantamweight,Main Card,M,K. Sataki
Season 04,Daniel,Benoit Saint-Denis,Thiago Moises,-165,W, 584:00,Round 2 TKO,Lightweight,Main Card,M,L. Bosacki
Season 04,Daniel,Israel Adesanya,Sean Strickland,-650,L, 1500:00,UD,Middleweight,Main Card,M,M. Goddard
Season 04,Goro,Rinya Nakamura,Fernie Garcia,-800,W, 900:00,UD,Bantamweight,Main Card,M,K. Sataki
Season 04,Goro,Bogdan Guskov,Volkan Oesdemir,155,L, 226:00,Round 1 Sub,Light Heavyweight,Main Card,M,M. Goddard
Season 04,Ian,Max Holloway,Chan Sung Jung,-800,W, 623:00,Round 3 TKO,Featherweight,Main Card,M,M. Goddard
Season 04,Ian,Jacqueline Cavalcanti,Zarah Fairn,-380,W, 900:00,UD,Catchweight,Prelim,F,R. Mitchell
Season 04,Ian,Carlos Ulberg,Da Un Jung,-280,W, 889:00,Round 3 Sub,Light Heavyweight,Prelim,M,H. Dean
Season 04,Ian,Lupita Godinez,Elise Reed,-440,W, 518:00,Round 2 Sub,Strawweight (W),Prelim,F,H. Dean
Season 04,Ian,Mohammed Usman,Jake Collier,-145,W, 900:00,UD,Heavyweight,Prelim,M,D. Miragliotta
Season 04,Ian,Joe Pyfer,Abdul Razak Alhassan,-400,W, 425:00,Round 2 Sub,Middleweight,Main Card,M,M. Smith
Season 04,Ian,Michel Pereira,Andre Petroski,-205,W, 66:00,Round 1 TKO,Middleweight,Main Card,M,C. Tognoni
Season 04,Ian,Javid Basharat,Victor Henry,-600,W, 315:00,NC,Bantamweight,Prelim,M,L. Bosacki
Season 04,Ian,Jailton Almeida,Derrick Lewis,-500,W, 1500:00,UD,Heavyweight,Main Card,M,M. Goddard
Season 04,Ian,Sergei Pavlovich,Tom Aspinall,-105,L, 69:00,Round 1 TKO,Heavyweight,Main Card,M,M. Goddard
Season 04,Joe,Max Holloway,Chan Sung Jung,-800,W, 623:00,Round 3 TKO,Featherweight,Main Card,M,M. Goddard
Season 04,Joe,Farid Basharat,Kleydson Rodrigues,-370,W, 255:00,Round 1 Sub,Bantamweight,Prelim,M,L. Para
Season 04,Joe,Sean Strickland,Israel Adesanya,470,W, 1500:00,UD,Middleweight,Main Card,M,M. Goddard
Season 04,Joe,Raul Rosas Jr,Terrence Mitchell,-750,W, 54:00,Round 1 TKO,Bantamweight,Main Card,M,M.Smith
Season 04,Joe,Mohammed Usman,Jake Collier,-145,W, 900:00,UD,Heavyweight,Prelim,M,D. Miragliotta
Season 04,Joe,Drew Dober,Ricky Glenn,-410,W, 156:00,Round 1 TKO,Lightweight,Main Card,M,C. Tognoni
Season 04,Joe,Darren Elkins,TJ Brown,150,W, 743:00,Round 2 Sub,Featherweight,Prelim,M,K. Hatley
Season 04,Joe,Viktoriia Duddakova,Jinh Yu Frey,-535,W, 900:00,UD,Catchweight,Prelim,F,D. Movahedi
Season 04,Joe,Eduarda Moura,Montserrat Ruiz,-625,W, 434:00,Round 2 TKO,Catchweight,Prelim,F,J. C. Soares
Season 04,Joe,Mateusz Rebecki,Roosevelt Roberts,-625,W, 188:00,Round 1 Sub,Catchweight,Prelim,M,M. Beltran
Season 04,Kanta,Max Holloway,Chan Sung Jung,-800,W, 623:00,Round 3 TKO,Featherweight,Main Card,M,M. Goddard
Season 04,Kanta,Caolan Loughran,Taylor Lapilus,145,L, 900:00,UD,Bantamweight,Prelim,M,L. Bosacki
Season 04,Rav,Max Holloway,Chan Sung Jung,-800,W, 623:00,Round 3 TKO,Featherweight,Main Card,M,M. Goddard
Season 04,Rav,Ciryl Gane,Serghei Spivac,-175,W, 524:00,Round 2 TKO,Heavyweight,Main Card,M,M. Goddard
Season 04,Rav,Israel Adesanya,Sean Strickland,-650,L, 1500:00,UD,Middleweight,Main Card,M,M. Goddard
